受注伝票番号,売上日,会員ID,会員登録日,商品コード,商品名称,注文数量,商品売価計,受注ステータス
700001,20231226,M100001,20160804,CT104,もこもこ泡シャンプー 300ml,3,29400,11
700001,20231226,M100001,20160804,CS101,かつおチップス 200g,1,12000,11
700001,20231226,M100001,20160804,CT106,耳そうじシート 40枚,2,19600,11
700002,20240301,M100002,20240223,CS104,減塩にぼし 500g,1,1280,11
700002,20240301,M100002,20240223,CS103,またたびスティック 30本,1,3800,11
700003,20240828,M100002,20240223,CT106,耳そうじシート 40枚,1,9800,11
700004,20240916,M100002,20240223,CS104,減塩にぼし 500g,1,1280,11
700004,20240916,M100002,20240223,CH102,毛玉ケアパウダー 180回分,1,1650,11
700005,20250710,M100003,20250626,CT102,肉球バーム 10g,1,6800,11
700006,20250725,M100003,20250626,CT104,もこもこ泡シャンプー 300ml,1,9800,11
700006,20250725,M100003,20250626,CT106,耳そうじシート 40枚,1,9800,11
700007,20241107,M100004,20241102,CT106,耳そうじシート 40枚,1,9800,11
700008,20240107,M100005,20210419,CH103,関節ケアコラーゲン 250g,1,980,11
700009,20240207,M100005,20210419,CS104,減塩にぼし 500g,1,1280,11
700010,20251209,M100006,20251114,CT104,もこもこ泡シャンプー 300ml,1,9800,11
700010,20251209,M100006,20251114,CS101,かつおチップス 200g,1,12000,11
700010,20251209,M100006,20251114,CT102,肉球バーム 10g,1,6800,11
700011,20251225,M100006,20251114,CE105,年間メンバーパス,1,4980,11
700011,20251225,M100006,20251114,CS104,減塩にぼし 500g,1,1280,11
700012,20260313,M100006,20251114,CS104,減塩にぼし 500g,1,1280,11
700013,20260611,M100007,20260530,CS101,かつおチップス 200g,1,12000,11
700014,20240112,M100008,20201208,CT104,もこもこ泡シャンプー 300ml,1,9800,11
700014,20240112,M100008,20201208,CS101,かつおチップス 200g,1,12000,11
700015,20240302,M100008,20201208,CS102,ささみチップス 200g,1,4980,11
700016,20240402,M100008,20201208,CT104,もこもこ泡シャンプー 300ml,1,9800,11
700017,20240721,M100008,20201208,CE103,グルーミング講座,2,7600,11
700018,20251218,M100009,20251215,CS104,減塩にぼし 500g,1,1280,11
700018,20251218,M100009,20251215,CF101,総合栄養食 まぐろ 500g,1,12000,11
700019,20240824,M100010,20240809,CS101,かつおチップス 200g,1,12000,11
700020,20240912,M100010,20240809,CS101,かつおチップス 200g,1,12000,11
700020,20240912,M100010,20240809,CS103,またたびスティック 30本,2,7600,11
700021,20241226,M100010,20240809,CT104,もこもこ泡シャンプー 300ml,1,9800,11
700021,20241226,M100010,20240809,CT107,デンタルジェル 50ml,1,1650,11
700022,20250709,M100011,20250629,CE105,年間メンバーパス,1,4980,11
700023,20250903,M100012,20250810,CT106,耳そうじシート 40枚,1,9800,11
